Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Hyper Params.,Model
DecisionTreeClassifier,0.8512,0.8443,0.8512,0.7131,0.8505,0.8426,0.8505,0.8386,0.8534,0.8462,0.8534,0.842,0.9632,not-balanced,100,10,3,5,740,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0036, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0021, 'surprise': 0.0012, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'a_score': 0.4006}","{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 100, 'min_samples_split': 2}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=100)"
DecisionTreeClassifier,0.8469,0.8615,0.8469,0.7396,0.8555,0.8922,0.8555,0.8551,0.8534,0.8898,0.8534,0.8526,0.9627,not-balanced,100,10,8,4,930,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0009, 'anger': 0.0002, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.001, 'a_score': 0.4314}","{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 50, 'min_samples_split': 2}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=50)"
DecisionTreeClassifier,0.8495,0.8855,0.8495,0.7965,0.8546,0.8889,0.8546,0.8537,0.8534,0.8891,0.8534,0.8527,0.9621,not-balanced,100,10,1,3,176,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0009, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0025, 'a_score': 0.4324}","{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 2}","DecisionTreeClassifier(criterion='entropy', max_depth=5, min_samples_leaf=5)"
DecisionTreeClassifier,0.8515,0.8869,0.8515,0.7996,0.8523,0.8889,0.8523,0.8515,0.8534,0.8891,0.8534,0.8527,0.9635,not-balanced,100,10,10,2,675,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0009, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0019, 'a_score': 0.4329}","{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 20, 'min_samples_split': 2}","DecisionTreeClassifier(criterion='entropy', max_depth=5, min_samples_leaf=20)"
DecisionTreeClassifier,0.852,0.884,0.852,0.7894,0.8502,0.8876,0.8502,0.8493,0.8534,0.8891,0.8534,0.8527,0.9635,not-balanced,100,10,1,1,297,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0009, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0014, 'a_score': 0.4336}","{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 100, 'min_samples_split': 2}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=100)"
DecisionTreeClassifier,0.8498,0.8496,0.8498,0.7232,0.8527,0.8457,0.8527,0.8418,0.8534,0.8462,0.8534,0.842,0.9626,not-balanced,100,10,9,1,166,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0026, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0006, 'surprise': 0.0022, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'a_score': 0.3999}","{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 100, 'min_samples_split': 2}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=100)"
DecisionTreeClassifier,0.8521,0.8882,0.8521,0.8005,0.851,0.8873,0.851,0.8497,0.8534,0.8891,0.8534,0.8527,0.9628,not-balanced,100,10,6,1,287,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0003, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0018, 'a_score': 0.4355}","{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 100, 'min_samples_split': 2}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=100)"
DecisionTreeClassifier,0.851,0.8865,0.851,0.7994,0.8539,0.8908,0.8539,0.8535,0.8534,0.8891,0.8534,0.8527,0.9632,not-balanced,100,10,3,2,301,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0007, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0011, 'a_score': 0.4274}","{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 100, 'min_samples_split': 2}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=100)"
DecisionTreeClassifier,0.8539,0.8889,0.8539,0.8043,0.8495,0.8872,0.8495,0.8487,0.8534,0.8891,0.8534,0.8527,0.9639,not-balanced,100,10,2,2,594,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0009, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0014, 'a_score': 0.4343}","{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 100, 'min_samples_split': 2}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=100)"
DecisionTreeClassifier,0.8538,0.8867,0.8538,0.8011,0.8499,0.8847,0.8499,0.8489,0.8533,0.8861,0.8533,0.8525,0.9639,not-balanced,100,10,9,5,224,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0004, 'anger': 0.0005, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0024, 'disgust': 0.0004, 'joy': 0.0028, 'a_score': 0.4295}","{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 10, 'min_samples_split': 50}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=10, min_samples_split=50)"
DecisionTreeClassifier,0.8507,0.8826,0.8507,0.7949,0.8541,0.8871,0.8541,0.8534,0.8533,0.8855,0.8533,0.8525,0.9628,not-balanced,100,10,4,4,295,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0017, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0021, 'disgust': 0.0003, 'joy': 0.0013, 'a_score': 0.4301}","{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 10, 'min_samples_split': 2}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=10)"
DecisionTreeClassifier,0.849,0.8853,0.849,0.7971,0.8557,0.8896,0.8557,0.8551,0.8533,0.8876,0.8533,0.8525,0.9632,not-balanced,100,10,3,3,255,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0008, 'anger': 0.0, 'anticipation': 0.0002, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0015, 'disgust': 0.0, 'joy': 0.0021, 'a_score': 0.4317}","{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 20, 'min_samples_split': 2}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=20)"
DecisionTreeClassifier,0.8521,0.8826,0.8521,0.7892,0.8508,0.8842,0.8508,0.8498,0.8533,0.8855,0.8533,0.8525,0.964,not-balanced,100,10,5,3,230,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0015, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0022, 'disgust': 0.0004, 'joy': 0.0008, 'a_score': 0.4315}","{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 20, 'min_samples_split': 2}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=20)"
DecisionTreeClassifier,0.8523,0.8866,0.8523,0.8012,0.8502,0.8892,0.8502,0.8497,0.8531,0.8894,0.8531,0.8523,0.9631,not-balanced,100,10,7,2,535,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0017, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0018, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'a_score': 0.4364}","{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 100, 'min_samples_split': 2}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=100)"
DecisionTreeClassifier,0.8539,0.8883,0.8539,0.8023,0.8488,0.8866,0.8488,0.8474,0.8531,0.8894,0.8531,0.8523,0.9637,not-balanced,100,10,6,4,52,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0017, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0017, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'a_score': 0.4326}","{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 100, 'min_samples_split': 2}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=100)"
DecisionTreeClassifier,0.852,0.8871,0.852,0.8033,0.8501,0.8897,0.8501,0.8498,0.8531,0.8894,0.8531,0.8523,0.9635,not-balanced,100,10,7,3,941,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0016, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0022, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'a_score': 0.4321}","{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 100, 'min_samples_split': 2}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=100)"
DecisionTreeClassifier,0.8509,0.8825,0.8509,0.7953,0.8504,0.8892,0.8504,0.8499,0.853,0.8902,0.853,0.8522,0.963,not-balanced,100,10,1,2,247,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0009, 'anger': 0.0001, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0012, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'a_score': 0.4339}","{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 100, 'min_samples_split': 2}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=100)"
DecisionTreeClassifier,0.8536,0.8835,0.8536,0.797,0.8482,0.8781,0.8482,0.8472,0.853,0.8829,0.853,0.8521,0.9639,not-balanced,100,10,4,2,253,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0019, 'anger': 0.0, 'anticipation': 0.0013, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0007, 'a_score': 0.4285}","{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 100, 'min_samples_split': 2}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=100)"
DecisionTreeClassifier,0.8531,0.8867,0.8531,0.8016,0.8502,0.8845,0.8502,0.8493,0.853,0.8858,0.853,0.8522,0.9639,not-balanced,100,10,9,2,828,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.002, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0022, 'sadness': 0.0027, 'disgust': 0.0003, 'joy': 0.0, 'a_score': 0.4313}","{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 2}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=5)"
DecisionTreeClassifier,0.85,0.8696,0.85,0.7497,0.8508,0.8833,0.8508,0.8496,0.8529,0.8844,0.8529,0.852,0.9641,not-balanced,100,10,10,4,682,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0001, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0045, 'disgust': 0.0, 'joy': 0.0016, 'a_score': 0.4288}","{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 2}","DecisionTreeClassifier(criterion='entropy', max_depth=5, min_samples_leaf=5)"
DecisionTreeClassifier,0.8499,0.8439,0.8499,0.7117,0.852,0.8427,0.852,0.8396,0.8529,0.845,0.8529,0.8409,0.9626,not-balanced,100,10,9,3,935,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0035, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0014, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0013, 'a_score': 0.3947}","{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 100, 'min_samples_split': 2}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=100)"
DecisionTreeClassifier,0.8575,0.8887,0.8575,0.8037,0.8432,0.8806,0.8432,0.8419,0.8529,0.886,0.8529,0.8521,0.9647,not-balanced,100,10,4,1,493,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.001, 'anger': 0.0005, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0005, 'sadness': 0.0032, 'disgust': 0.0, 'joy': 0.002, 'a_score': 0.4346}","{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 20, 'min_samples_split': 5}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=20, min_samples_split=5)"
DecisionTreeClassifier,0.853,0.846,0.853,0.7168,0.846,0.8367,0.846,0.8345,0.8529,0.8451,0.8529,0.8419,0.9644,not-balanced,100,10,5,1,146,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0038, 'anger': 0.0017, 'anticipation': 0.0036, 'trust': 0.0016, 'surprise': 0.0012, 'sadness': 0.0041, 'disgust': 0.0, 'joy': 0.0059, 'a_score': 0.3989}","{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 50, 'min_samples_split': 2}","DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=50)"
DecisionTreeClassifier,0.8516,0.8835,0.8516,0.7972,0.851,0.8842,0.851,0.8501,0.8529,0.8844,0.8529,0.852,0.9629,not-balanced,100,10,2,4,589,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0009, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0039, 'disgust': 0.0, 'joy': 0.0019, 'a_score': 0.4312}","{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 50, 'min_samples_split': 2}","DecisionTreeClassifier(criterion='entropy', max_depth=5, min_samples_leaf=50)"
DecisionTreeClassifier,0.8516,0.886,0.8516,0.7987,0.8525,0.8857,0.8525,0.8519,0.8529,0.8862,0.8529,0.8521,0.9633,not-balanced,100,10,6,5,175,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0021, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0003, 'surprise': 0.0004, 'sadness': 0.0028, 'disgust': 0.0, 'joy': 0.0022, 'a_score': 0.4289}","{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 20, 'min_samples_split': 2}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=20)"
DecisionTreeClassifier,0.8529,0.8852,0.8529,0.7988,0.8497,0.8851,0.8497,0.8489,0.8529,0.8853,0.8529,0.8521,0.9636,not-balanced,100,10,7,1,83,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.001, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0004, 'sadness': 0.0033, 'disgust': 0.0, 'joy': 0.0021, 'a_score': 0.4318}","{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 10, 'min_samples_split': 2}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=10)"
DecisionTreeClassifier,0.8518,0.8935,0.8518,0.8025,0.8495,0.8923,0.8495,0.8482,0.8528,0.8947,0.8528,0.852,0.9628,not-balanced,100,10,8,5,233,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.001, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0016, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0007, 'a_score': 0.4365}","{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 2}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=5)"
DecisionTreeClassifier,0.8504,0.8455,0.8504,0.7215,0.8506,0.8455,0.8506,0.8417,0.8527,0.8481,0.8527,0.844,0.9633,not-balanced,100,10,3,4,11,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0021, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0021, 'surprise': 0.0025, 'sadness': 0.0006, 'disgust': 0.0, 'joy': 0.0, 'a_score': 0.4007}","{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 100, 'min_samples_split': 2}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=100)"
DecisionTreeClassifier,0.8507,0.8701,0.8507,0.7858,0.8486,0.8691,0.8486,0.8483,0.8526,0.8727,0.8526,0.8523,0.9635,not-balanced,100,10,6,3,995,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0044, 'anger': 0.0013, 'anticipation': 0.0024, 'trust': 0.0021, 'surprise': 0.001, 'sadness': 0.0054, 'disgust': 0.0009, 'joy': 0.0038, 'a_score': 0.4275}","{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 20, 'min_samples_split': 2}","DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=20)"
DecisionTreeClassifier,0.8529,0.8858,0.8529,0.8007,0.852,0.8855,0.852,0.851,0.8526,0.8856,0.8526,0.8518,0.9641,not-balanced,100,10,1,4,882,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0031, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0019, 'sadness': 0.0038, 'disgust': 0.0, 'joy': 0.0, 'a_score': 0.4278}","{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 2}","DecisionTreeClassifier(criterion='entropy', max_depth=5, min_samples_leaf=5)"
DecisionTreeClassifier,0.8544,0.8471,0.8544,0.6797,0.8449,0.8325,0.8449,0.8246,0.8525,0.8435,0.8525,0.8339,0.9642,not-balanced,100,10,8,1,294,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0052, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0006, 'surprise': 0.0, 'sadness': 0.0023, 'disgust': 0.0002, 'joy': 0.0, 'a_score': 0.3933}","{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 10, 'min_samples_split': 2}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=10)"
