Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
KNeighborsClassifier,0.8809,0.886,0.8809,0.8694,0.8966,0.9027,0.8966,0.8935,0.8985,0.9051,0.8985,0.8954,0.9519,not-balanced,100,10,531,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0094, 'anger': 0.0091, 'anticipation': 0.0065, 'trust': 0.0052, 'surprise': 0.0098, 'sadness': 0.0084, 'disgust': 0.0109, 'joy': 0.0071, 'a_score': 0.3454}",KNeighborsClassifier()
KNeighborsClassifier,0.8832,0.8882,0.8832,0.8744,0.8941,0.8965,0.8941,0.8916,0.8957,0.8986,0.8957,0.8934,0.9554,not-balanced,100,10,913,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0051, 'anger': 0.0116, 'anticipation': 0.0121, 'trust': 0.0055, 'surprise': 0.0072, 'sadness': 0.0062, 'disgust': 0.0096, 'joy': 0.0097, 'a_score': 0.352}",KNeighborsClassifier()
KNeighborsClassifier,0.8832,0.8885,0.8832,0.8726,0.891,0.8929,0.891,0.8888,0.8943,0.8967,0.8943,0.892,0.9481,not-balanced,100,10,614,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0135, 'anger': 0.0075, 'anticipation': 0.0082, 'trust': 0.0055, 'surprise': 0.009, 'sadness': 0.0064, 'disgust': 0.0105, 'joy': 0.0095, 'a_score': 0.3514}",KNeighborsClassifier()
KNeighborsClassifier,0.8874,0.8922,0.8874,0.8763,0.8675,0.8785,0.8675,0.8692,0.8664,0.8789,0.8664,0.8684,0.9565,not-balanced,100,10,88,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0004, 'anger': 0.0057, 'anticipation': 0.0025, 'trust': -0.0002, 'surprise': 0.0084, 'sadness': 0.002, 'disgust': 0.0085, 'joy': 0.0075, 'a_score': 0.3492}",KNeighborsClassifier()
MLPClassifier,0.8319,0.8489,0.8319,0.8009,0.8673,0.8874,0.8673,0.8593,0.8651,0.8858,0.8651,0.8569,0.9121,not-balanced,100,10,852,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.002, 'anger': 0.0001, 'anticipation': 0.0001, 'trust': 0.0005, 'surprise': 0.0011, 'sadness': 0.0014, 'disgust': 0.001, 'joy': 0.0012, 'a_score': 0.2965}",MLPClassifier()
MLPClassifier,0.8466,0.8634,0.8466,0.8203,0.8633,0.8858,0.8633,0.855,0.8648,0.8871,0.8648,0.8562,0.9213,not-balanced,100,10,23,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0009, 'anger': 0.0004, 'anticipation': 0.0004, 'trust': 0.0008, 'surprise': 0.0005, 'sadness': 0.0009, 'disgust': 0.0004, 'joy': 0.0017, 'a_score': 0.2944}",MLPClassifier()
KNeighborsClassifier,0.885,0.8896,0.885,0.8726,0.8611,0.8707,0.8611,0.8628,0.8644,0.8756,0.8644,0.8663,0.9587,not-balanced,100,10,416,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.007, 'anger': 0.009, 'anticipation': 0.0038, 'trust': 0.0004, 'surprise': 0.0044, 'sadness': 0.0059, 'disgust': 0.0059, 'joy': 0.0021, 'a_score': 0.3511}",KNeighborsClassifier()
MLPClassifier,0.8345,0.8477,0.8345,0.8066,0.8635,0.8781,0.8635,0.8566,0.8636,0.8787,0.8636,0.8564,0.913,not-balanced,100,10,960,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0069, 'anger': 0.0014, 'anticipation': 0.0018, 'trust': 0.0004, 'surprise': 0.0006, 'sadness': 0.0026, 'disgust': 0.0027, 'joy': 0.002, 'a_score': 0.298}",MLPClassifier()
MLPClassifier,0.8558,0.8715,0.8558,0.8314,0.8628,0.8776,0.8628,0.8555,0.863,0.8785,0.863,0.8556,0.9262,not-balanced,100,10,694,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0015, 'anger': 0.0007, 'anticipation': 0.0013, 'trust': 0.0015, 'surprise': 0.0008, 'sadness': 0.0011, 'disgust': 0.0004, 'joy': 0.0057, 'a_score': 0.2966}",MLPClassifier()
SVC,0.8642,0.884,0.8642,0.8377,0.8583,0.8812,0.8583,0.8492,0.8617,0.8829,0.8617,0.853,0.8727,not-balanced,100,10,282,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0004, 'anger': 0.001, 'anticipation': 0.004, 'trust': 0.0045, 'surprise': 0.0031, 'sadness': 0.0006, 'disgust': 0.0009, 'joy': 0.0011, 'a_score': 0.2925}",SVC(probability=True)
SVC,0.8512,0.8763,0.8512,0.82,0.8578,0.8812,0.8578,0.8484,0.8616,0.8835,0.8616,0.8527,0.8799,not-balanced,100,10,224,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0002, 'anger': 0.0023, 'anticipation': 0.0009, 'trust': 0.0053, 'surprise': 0.0011, 'sadness': 0.0007, 'disgust': 0.0009, 'joy': 0.0007, 'a_score': 0.295}",SVC(probability=True)
SVC,0.8614,0.8824,0.8614,0.8345,0.8608,0.8814,0.8608,0.8523,0.8609,0.8815,0.8609,0.8522,0.8975,not-balanced,100,10,412,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0006, 'anger': 0.0007, 'anticipation': 0.0036, 'trust': 0.0038, 'surprise': 0.0032, 'sadness': 0.0031, 'disgust': 0.0007, 'joy': 0.0028, 'a_score': 0.2888}",SVC(probability=True)
SVC,0.858,0.8767,0.858,0.8319,0.8604,0.8809,0.8604,0.8516,0.8606,0.8809,0.8606,0.852,0.893,not-balanced,100,10,937,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0003, 'anger': 0.0007, 'anticipation': 0.0038, 'trust': 0.0035, 'surprise': 0.003, 'sadness': 0.0022, 'disgust': 0.0004, 'joy': 0.0026, 'a_score': 0.2909}",SVC(probability=True)
SVC,0.8403,0.8702,0.8403,0.8045,0.836,0.8667,0.836,0.8223,0.8372,0.8682,0.8372,0.8235,0.8773,not-balanced,100,10,146,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0007, 'anger': 0.0003, 'anticipation': -0.0032, 'trust': -0.001, 'surprise': -0.0021, 'sadness': -0.0017, 'disgust': 0.0002, 'joy': -0.0023, 'a_score': 0.2607}",SVC(probability=True)
MLPClassifier,0.8558,0.8734,0.8558,0.8312,0.8225,0.8294,0.8225,0.8244,0.8202,0.8277,0.8202,0.8222,0.923,not-balanced,100,10,989,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0024, 'anger': 0.0011, 'anticipation': 0.0024, 'trust': 0.0014, 'surprise': -0.0, 'sadness': 0.0023, 'disgust': 0.0026, 'joy': 0.0006, 'a_score': 0.2989}",MLPClassifier()
LogisticRegression,0.7833,0.7831,0.7833,0.7651,0.7807,0.7799,0.7807,0.7803,0.7811,0.781,0.7811,0.781,0.8228,not-balanced,100,10,289,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.004, 'anger': 0.0001, 'anticipation': 0.0001, 'trust': -0.0007, 'surprise': -0.0018, 'sadness': -0.004, 'disgust': -0.003, 'joy': -0.0004, 'a_score': 0.2419}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.7816,0.782,0.7816,0.7646,0.779,0.7793,0.779,0.7792,0.7795,0.7803,0.7795,0.7798,0.8245,not-balanced,100,10,557,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0021, 'anger': 0.0001, 'anticipation': -0.0, 'trust': -0.0, 'surprise': -0.0022, 'sadness': 0.0001, 'disgust': -0.0038, 'joy': -0.0003, 'a_score': 0.2432}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.7831,0.7832,0.7831,0.7656,0.7795,0.7803,0.7795,0.7799,0.7794,0.7806,0.7794,0.7799,0.8219,not-balanced,100,10,632,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0028, 'anger': -0.0008, 'anticipation': 0.0007, 'trust': -0.0003, 'surprise': -0.0008, 'sadness': 0.0002, 'disgust': -0.0031, 'joy': 0.0002, 'a_score': 0.2437}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.7802,0.7809,0.7802,0.7636,0.7797,0.7807,0.7797,0.7802,0.7782,0.7801,0.7782,0.779,0.825,not-balanced,100,10,418,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.001, 'anger': 0.0002, 'anticipation': 0.0003, 'trust': 0.0005, 'surprise': -0.001, 'sadness': 0.0005, 'disgust': -0.0038, 'joy': 0.0002, 'a_score': 0.2408}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.7783,0.7796,0.7783,0.7628,0.7817,0.7824,0.7817,0.782,0.7781,0.7801,0.7781,0.7789,0.8263,not-balanced,100,10,1,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0, 'anger': -0.001, 'anticipation': 0.0005, 'trust': -0.0002, 'surprise': -0.0032, 'sadness': 0.0003, 'disgust': -0.004, 'joy': -0.0002, 'a_score': 0.2394}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
GaussianNB,0.7617,0.7633,0.7617,0.7413,0.7646,0.7635,0.7646,0.764,0.758,0.7582,0.758,0.7581,0.814,not-balanced,100,10,818,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0029, 'anger': -0.0035, 'anticipation': -0.0032, 'trust': -0.0006, 'surprise': -0.0008, 'sadness': -0.004, 'disgust': 0.0001, 'joy': -0.001, 'a_score': 0.2145}",GaussianNB()
GaussianNB,0.7622,0.7615,0.7622,0.7421,0.7606,0.7595,0.7606,0.76,0.7578,0.7577,0.7578,0.7578,0.8065,not-balanced,100,10,704,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0019, 'anger': -0.0012, 'anticipation': -0.0001, 'trust': 0.0028, 'surprise': 0.001, 'sadness': -0.001, 'disgust': -0.0056, 'joy': 0.0008, 'a_score': 0.2174}",GaussianNB()
GaussianNB,0.7614,0.7607,0.7614,0.7417,0.7632,0.7624,0.7632,0.7628,0.7564,0.7562,0.7564,0.7563,0.8055,not-balanced,100,10,956,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0035, 'anger': -0.0026, 'anticipation': -0.0011, 'trust': 0.0001, 'surprise': -0.0004, 'sadness': -0.0014, 'disgust': -0.0014, 'joy': -0.0013, 'a_score': 0.2138}",GaussianNB()
GaussianNB,0.7595,0.7603,0.7595,0.7413,0.754,0.7538,0.754,0.7539,0.7517,0.7524,0.7517,0.752,0.8007,not-balanced,100,10,634,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0015, 'anger': -0.0017, 'anticipation': -0.0035, 'trust': 0.0023, 'surprise': -0.001, 'sadness': -0.0004, 'disgust': -0.0005, 'joy': -0.0011, 'a_score': 0.2113}",GaussianNB()
GaussianNB,0.7582,0.7588,0.7582,0.7402,0.7481,0.749,0.7481,0.7485,0.7504,0.752,0.7504,0.7511,0.802,not-balanced,100,10,494,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0033, 'anger': -0.0027, 'anticipation': -0.0007, 'trust': -0.0003, 'surprise': 0.0005, 'sadness': -0.0008, 'disgust': 0.0007, 'joy': -0.0018, 'a_score': 0.2211}",GaussianNB()
