;Algorithm;Accuracy;F1 Score
16;MultinomialNB;0.9999;0.9999
17;MultinomialNB;0.9999;0.9999
13;MultinomialNB;0.9999;0.9998
25;MultinomialNB;0.9998;0.9998
20;ComplementNB;0.9998;0.9998
26;ComplementNB;0.9998;0.9998
25;ComplementNB;0.9998;0.9998
24;ComplementNB;0.9998;0.9998
23;ComplementNB;0.9998;0.9998
24;MultinomialNB;0.9998;0.9998
21;ComplementNB;0.9998;0.9998
20;MultinomialNB;0.9998;0.9998
21;MultinomialNB;0.9998;0.9998
22;MultinomialNB;0.9998;0.9998
23;MultinomialNB;0.9998;0.9998
29;MultinomialNB;0.9998;0.9998
28;MultinomialNB;0.9998;0.9998
27;MultinomialNB;0.9998;0.9998
26;MultinomialNB;0.9998;0.9998
22;ComplementNB;0.9998;0.9998
29;ComplementNB;0.9997;0.9997
27;ComplementNB;0.9997;0.9997
28;ComplementNB;0.9997;0.9997
0;GaussianNB;0.9981;0.998
1;GaussianNB;0.998;0.9978
2;GaussianNB;0.998;0.9979
3;GaussianNB;0.9979;0.9978
4;GaussianNB;0.9979;0.9978
5;GaussianNB;0.9979;0.9978
6;GaussianNB;0.9978;0.9977
7;GaussianNB;0.9978;0.9977
8;GaussianNB;0.9978;0.9976
9;GaussianNB;0.9978;0.9976
11;GaussianNB;0.9978;0.9976
12;GaussianNB;0.9978;0.9976
10;GaussianNB;0.9978;0.9976
13;GaussianNB;0.9977;0.9976
15;GaussianNB;0.9976;0.9975
22;GaussianNB;0.9976;0.9975
21;GaussianNB;0.9976;0.9975
20;GaussianNB;0.9976;0.9974
19;GaussianNB;0.9976;0.9975
18;GaussianNB;0.9976;0.9974
17;GaussianNB;0.9976;0.9975
16;GaussianNB;0.9976;0.9974
14;GaussianNB;0.9976;0.9975
23;GaussianNB;0.9975;0.9974
24;GaussianNB;0.9975;0.9974
25;GaussianNB;0.9975;0.9973
26;GaussianNB;0.9975;0.9974
27;GaussianNB;0.9974;0.9973
28;GaussianNB;0.9973;0.9971
29;GaussianNB;0.9973;0.9971
1;BernoulliNB;0.623;0.3839
0;BernoulliNB;0.623;0.3839
2;BernoulliNB;0.6229;0.3838
3;BernoulliNB;0.6228;0.3838
4;BernoulliNB;0.6228;0.3838
6;BernoulliNB;0.6227;0.3837
5;BernoulliNB;0.6227;0.3837
7;BernoulliNB;0.6225;0.3837
10;BernoulliNB;0.6224;0.3836
9;BernoulliNB;0.6224;0.3836
8;BernoulliNB;0.6224;0.3836
13;BernoulliNB;0.6223;0.3836
12;BernoulliNB;0.6223;0.3836
11;BernoulliNB;0.6223;0.3836
14;BernoulliNB;0.6222;0.3836
15;BernoulliNB;0.6221;0.3835
17;BernoulliNB;0.622;0.3835
16;BernoulliNB;0.622;0.3835
19;BernoulliNB;0.6219;0.3834
18;BernoulliNB;0.6219;0.3834
21;BernoulliNB;0.6218;0.3834
20;BernoulliNB;0.6218;0.3834
22;BernoulliNB;0.6217;0.3833
23;BernoulliNB;0.6217;0.3834
24;BernoulliNB;0.6215;0.3833
25;BernoulliNB;0.6214;0.3832
27;BernoulliNB;0.6213;0.3832
26;BernoulliNB;0.6213;0.3832
28;BernoulliNB;0.6212;0.3832
29;BernoulliNB;0.6209;0.3831
